region,edu,sex,agest,lf_rate,lf_rate_goal
CY,e2,f,20,0.620749173,0.535710077
CY,e3,f,20,0.620749173,0.535710077
CY,e4,f,20,0.620749173,0.535710077
CY,e5,f,20,0.500722491,0.759692529
CY,e6,f,20,0.827110026,0.697649304
CY,e1,m,20,0.761836022,0.714002535
CY,e2,m,20,0.761836022,0.714002535
CY,e3,m,20,0.761836022,0.714002535
CY,e4,m,20,0.761836022,0.714002535
CY,e5,m,20,0.582294294,0.807033397
CY,e6,m,20,0.775152956,0.588001503
CY,e1,f,25,0.67915295,0.593883189
CY,e2,f,25,0.67915295,0.593883189
CY,e3,f,25,0.67915295,0.593883189
CY,e4,f,25,0.67915295,0.593883189
CY,e5,f,25,0.792719253,0.848603955
CY,e6,f,25,0.902542962,0.859228037
CY,e1,m,25,0.891128458,0.75950542
CY,e2,m,25,0.891128458,0.75950542
CY,e3,m,25,0.891128458,0.75950542
CY,e4,m,25,0.891128458,0.75950542
CY,e5,m,25,0.866769701,0.931559481
CY,e6,m,25,0.931961098,0.859743896
CY,e1,f,30,0.735007359,0.753691107
CY,e2,f,30,0.735007359,0.753691107
CY,e3,f,30,0.735007359,0.753691107
CY,e4,f,30,0.735007359,0.753691107
CY,e5,f,30,0.814719636,0.91503786
CY,e6,f,30,0.89402494,0.928284899
CY,e1,m,30,0.870910743,0.834653117
CY,e2,m,30,0.870910743,0.834653117
CY,e3,m,30,0.870910743,0.834653117
CY,e4,m,30,0.870910743,0.834653117
CY,e5,m,30,0.924239083,0.950109994
CY,e6,m,30,0.970923572,0.956820986
CY,e1,f,35,0.742450073,0.719896242
CY,e2,f,35,0.742450073,0.719896242
CY,e3,f,35,0.742450073,0.719896242
CY,e4,f,35,0.742450073,0.719896242
